SiteID;CoreID;Ecosystem;Specie;Min.D;Max.D;Age;DBD;OM;OC;Centro;h;POC
Santa Maria;SM15;Seagrass;Posidonia oceanica;0;0.805073204;0.75;0.5231699;11.58865666;3.9959033;0.402536602;0.402536602;0.008415174
Santa Maria;SM15;Seagrass;Posidonia oceanica;0.805073204;3.009866141;1.8;0.154721445;6.359077232;2.1461337;1.907469673;1.504933071;0.004997174
Santa Maria;SM15;Seagrass;Posidonia oceanica;3.009866141;5.15704724;3.133333333;0.321032378;8.253397282;2.2415445;4.083456691;2.175987018;0.015658585
Santa Maria;SM15;Seagrass;Posidonia oceanica;5.15704724;7.249371436;4.6;0.271753007;4.927536232;1.4897443;6.203209338;2.119752648;0.008581659
Santa Maria;SM15;Seagrass;Posidonia oceanica;7.249371436;9.289461922;6.133333333;0.154125857;5.14829878;1.4606901;8.269416679;2.066207341;0.004651655
Santa Maria;SM15;Seagrass;Posidonia oceanica;9.289461922;11.27981646;7.7;0.28769866;4.249485949;1.4515293;10.28463919;2.015222512;0.00841563
Santa Maria;SM15;Seagrass;Posidonia oceanica;11.27981646;13.22281336;9.266666667;0.385539489;5.182591296;1.2031441;12.25131491;1.966675719;0.009122613
Santa Maria;SM15;Seagrass;Posidonia oceanica;13.22281336;15.12071721;10.8;0.452373683;2.339925592;1.1049352;14.17176529;1.920450375;0.009599248
Santa Maria;SM15;Seagrass;Posidonia oceanica;15.12071721;16.97568431;12.73333333;0.422593755;5.329467053;0.9898668;16.04820076;1.876435475;0.007849346
Santa Maria;SM15;Seagrass;Posidonia oceanica;16.97568431;18.78976786;15;0.467483994;3.145440554;1.4848525;17.88272609;1.834525325;0.012734262
Santa Maria;SM15;Seagrass;Posidonia oceanica;18.78976786;20.56492285;17.66666667;0.506867242;3.749759013;1.8493162;19.67734536;1.79461927;0.016822004
Santa Maria;SM15;Seagrass;Posidonia oceanica;20.56492285;22.3030108;20.8;0.372466488;9.259259259;2.8293168;21.43396683;1.75662147;0.018511728
Santa Maria;SM15;Seagrass;Posidonia oceanica;22.3030108;24.00580422;24.4;0.680071837;3.820202421;1.0440733;23.15440751;1.720440685;0.0122159
Santa Maria;SM15;Seagrass;Posidonia oceanica;24.00580422;25.67499085;29.33333333;0.544033254;3.509644064;1.3758508;24.84039754;1.685990025;0.01261978
Santa Maria;SM15;Seagrass;Posidonia oceanica;25.67499085;27.31217774;33.45;0.644481812;4.049067518;1.3832523;26.4935843;1.65318676;0.014737845
